SKU,Catalogue Code,Product Name,Category,Brand,Sales Price,RRP,Product Features,Marketing Text,Category Marketing Text,Width,Depth,Height,Product Weight (kg),Material,Finish,Colour,Bespoke Fabric Product,Fabric Brand,Fabric Brand Range,Seat Width,Seat Depth,Seat Height,Back Type,Back Width,Back Height,Arms Included,Arm Type,Arms Removable,Arms Width,Arms Height,Recommended Usage (Hours),Maximum Weight Capacity (kg),Seat Colour,Back Colour,Frame Colour,Seat Material,Back Material,Frame Material,MOQ,Standard Delivery Time,Product Returnable,Self Assembly,Next Day Cost,7-10 Day Install Cost,Mechanical Components Guarantee,Fabric and Foam Guarantee,Country of Origin,Test Certificates,Commodity Code,ISPC Code,EAN Barcode,Last Updated
NSS00163,WYNNSCHACH1,Wynne 81cm Wide Armchair Ultima Chalk Faux Leather by Cristina Marrone Chrome Feet,Armchairs,Wynne,,1780, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wynne bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Chalk,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Chalk,Chalk,Chrome,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00164,WYNNSCHACH1SCKT,Wynne 81cm Wide Armchair Ultima Chalk Faux Leather by Cristina Marrone Chrome Feet With Socket,Armchairs,Wynne,,2112, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Chalk,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Chalk,Chalk,Chrome,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00165,WYNNSCHAEB1,Wynne 81cm Wide Armchair Ultima Chalk Faux Leather by Cristina Marrone Ebony Wood Feet,Armchairs,Wynne,,1780, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wynne bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Chalk,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Chalk,Chalk,Ebony,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00166,WYNNSCHAEB1SCKT,Wynne 81cm Wide Armchair Ultima Chalk Faux Leather by Cristina Marrone Ebony Wood Feet With Socket,Armchairs,Wynne,,2112, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Chalk,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Chalk,Chalk,Ebony,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00167,WYNNSCHANE1,Wynne 81cm Wide Armchair Ultima Chalk Faux Leather by Cristina Marrone Light Wood Feet,Armchairs,Wynne,,1780, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wynne bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Chalk,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Chalk,Chalk,Light Wood,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00168,WYNNSCHANE1SCKT,Wynne 81cm Wide Armchair Ultima Chalk Faux Leather by Cristina Marrone Light Wood Feet With Socket,Armchairs,Wynne,,2112, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Chalk,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Chalk,Chalk,Light Wood,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00169,WYNNSCHICH3,Wynne 81cm Wide Armchair Ultima Chilli Faux Leather by Cristina Marrone Wide Chrome Feet,Armchairs,Wynne,,1780, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Chilli,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Chilli,Chilli,Chrome,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00170,WYNNSCHICH3SCKT,Wynne 81cm Wide Armchair Ultima Chilli Faux Leather by Cristina Marrone Wide Chrome Feet With Socket,Armchairs,Wynne,,2112, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Chilli,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Chilli,Chilli,Chrome,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00171,WYNNSCHICH1,Wynne 81cm Wide Armchair Ultima Chilli Faux Leather by Cristina Marrone Chrome Feet,Armchairs,Wynne,,1780, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wynne bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Chilli,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Chilli,Chilli,Chrome,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00172,WYNNSCHICH1SCKT,Wynne 81cm Wide Armchair Ultima Chilli Faux Leather by Cristina Marrone Chrome Feet With Socket,Armchairs,Wynne,,2112, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Chilli,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Chilli,Chilli,Chrome,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00173,WYNNSCHIEB1,Wynne 81cm Wide Armchair Ultima Chilli Faux Leather by Cristina Marrone Ebony Wood Feet,Armchairs,Wynne,,1780, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wynne bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Chilli,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Chilli,Chilli,Ebony,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00174,WYNNSCHIEB1SCKT,Wynne 81cm Wide Armchair Ultima Chilli Faux Leather by Cristina Marrone Ebony Wood Feet With Socket,Armchairs,Wynne,,2112, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Chilli,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Chilli,Chilli,Ebony,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00175,WYNNSCHINE1,Wynne 81cm Wide Armchair Ultima Chilli Faux Leather by Cristina Marrone Light Wood Feet,Armchairs,Wynne,,1780, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wynne bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Chilli,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Chilli,Chilli,Light Wood,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00176,WYNNSCHINE1SCKT,Wynne 81cm Wide Armchair Ultima Chilli Faux Leather by Cristina Marrone Light Wood Feet With Socket,Armchairs,Wynne,,2112, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Hardwood & Polyurethane,Faux Leather,Chilli,true,Cristina Marrone,Ultima,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Chilli,Chilli,Light Wood,Polyurethane,Polyurethane,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00177,WYNNSCITCH3,Wynne 81cm Wide Armchair Dolly Citron Fabric by Warwick Wide Chrome Feet,Armchairs,Wynne,,1803, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Fabric & Hardwood,Fabric,Citron,true,Warwick,Dolly,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Citron,Citron,Chrome,Fabric,Fabric,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00178,WYNNSCITCH3SCKT,Wynne 81cm Wide Armchair Dolly Citron Fabric by Warwick Wide Chrome Feet With Socket,Armchairs,Wynne,,2135, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Fabric & Hardwood,Fabric,Citron,true,Warwick,Dolly,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Citron,Citron,Chrome,Fabric,Fabric,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00179,WYNNSCITCH1,Wynne 81cm Wide Armchair Dolly Citron Fabric by Warwick Chrome Feet,Armchairs,Wynne,,1803, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wynne bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Fabric & Hardwood,Fabric,Citron,true,Warwick,Dolly,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Citron,Citron,Chrome,Fabric,Fabric,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00180,WYNNSCITCH1SCKT,Wynne 81cm Wide Armchair Dolly Citron Fabric by Warwick Chrome Feet With Socket,Armchairs,Wynne,,2135, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wilson bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Fabric & Hardwood,Fabric,Citron,true,Warwick,Dolly,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Citron,Citron,Chrome,Fabric,Fabric,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
NSS00181,WYNNSCITEB1,Wynne 81cm Wide Armchair Dolly Citron Fabric by Warwick Ebony Wood Feet,Armchairs,Wynne,,1803, Comfort focused high back seating  Distinctive curved arms  Reversible seat cushion has removeable cover  Double stitched seams for strength and neatness  Hardwood frame from sustainable source  Reflex memory foams  Foam overlay to soften edges,It's a stunner! Wynne bears the hallmarks of classic British design. It's hand-made in the UK by craftsmen working with British fabrics and hand-built hardwood frames.,"Sumptuous upholstery, hardwood frames, Reflex foams and distinctive designs bring user comfort to your office with our Active Office soft seating",810,870,890,28,Fabric & Hardwood,Fabric,Citron,true,Warwick,Dolly,510,570,490,High,810,890,true,Fixed,false,510,650,8,158,Citron,Citron,Ebony,Fabric,Fabric,Hardwood,1,42-56,No,No,,,5 Years,5 Years,Great Britain,,9401610000,60254,5.05618E+12,03/06/2024
